ID,Yield
ID_F9XXEXN2ADR2,496.7133333333333
ID_SO3VW2X4QO93,1522.0833333333335
ID_UKUQ7JM8E894,532.29
ID_QUISMWEZR2H4,259.31
ID_25JGI455VKCZ,568.6266666666667
ID_KQEAOXF3RPV6,388.2842261904762
ID_FSNZCPW9HTD2,3429.6
ID_U2TOPOA0T40S,328.0775
ID_XVQLSUKOT04J,1190.1666666666667
ID_EAZAU6IW58PK,172.98511544011544
ID_WI17R25TC2VU,283.4422857142857
ID_OPR9MJWG40U7,1682.35
ID_P9K9GAHC6FX6,734.08
ID_SCAOUCCTJ75Z,4.0
ID_MUP1OS8GZR5E,1703.8233333333335
ID_WVBSZ9VBC9HE,676.345
ID_9MGH1WIKFBNB,870.86
ID_3M2O3EPOM18C,2228.05
ID_K9MOR4N1FWIB,553.0433333333333
ID_VJPUPMSQARO5,1190.1666666666667
ID_7WIMK3DXIU3Q,1195.2444444444443
ID_6QXVH0EUS60J,1183.25
ID_CA9GH6Q53A1Q,223.15466666666669
ID_94KO4EQ6TA3S,223.32
ID_2WH3AXUWRS2A,221.48
ID_LBS8TBC6QEF1,267.8
ID_Y3YARETW8RAP,1043.1133333333332
ID_BY9JJAIKBRGP,551.79
ID_0U5AM482W1DE,405.31269841269835
ID_G0I28ORJC3OP,608.66
ID_Q34ED4EMSA3R,602.9
ID_LN3LXEG984XM,652.2273333333333
ID_0JTIPPYRJND0,799.4199134199135
ID_2MRD9I2X8UXB,190.2
ID_KH1FHLUW2T4X,204.42
ID_RFM5MWSIU1JX,321.40866666666665
ID_IAH2UTMDVU8F,240.0
ID_9SNP46T1GSJI,788.1666666666667
ID_DSQ9ISYFW4DB,567.62
ID_B8XYLC3NM6XD,212.41
ID_HOG9LK4CTN8K,626.44
ID_L3RTRS1QIY6D,316.275
ID_03QW4RBYQEBK,402.39677128427115
ID_ZJSYN3ZHXK5K,955.3166666666667
ID_UPRM76SZ7IJJ,589.97
ID_YB866N9RY5TU,534.2866666666667
ID_4H0KNHPKF9BK,209.48333333333335
ID_TOIT03A3WTTD,304.4616666666667
ID_4P7NKCB6LMJ5,28.88913043478261
ID_1TIMGZJLRLWF,856.93
ID_25E6065LQDON,670.53
ID_SOB9B3H12POE,948.27
ID_A8RF0GQGJF5H,830.3
ID_GT36LGF8SM8K,665.61
ID_E9OHGDA3U6DG,463.74
ID_HXWHLMRE99CE,978.05
ID_3VL9DLFRG5A3,280.64
ID_OKPI3DR2ZQPJ,273.1225
ID_XZO6ECCAOC94,901.18
ID_4X2UWYR6RIE2,817.51
ID_1LVAHN6PZYBS,996.865
ID_HRAJFKTPCNWQ,2018.6
ID_TK4H5NRKHOE8,323.3011111111111
ID_9U0UBT1J8152,342.3
ID_3EUKVYT37JOP,240.29
ID_1499QWPPW755,1602.3
ID_ULWP3J0G860C,375.5298333333334
ID_51FSB3P7RO7F,581.0258333333333
ID_FHMVP6OM4GDX,1672.15
ID_2OICAUFVUF5S,248.6
ID_ZGCFHIHAIC5U,1082.602380952381
ID_SR592R346POT,1253.36
ID_IW7UUDAW8LI0,415.3
ID_UNWZCF6L3JHJ,405.31269841269835
ID_Z4FXX0BNPHCO,806.15
ID_T18YB26T1R72,401.74
ID_LXZWOINVI194,626.2527380952382
ID_QNQJS14C9JJR,1823.9
